round,german,hebrew,english,hebrew_vocalized,tts_text,emoji
1,Berg,הר,mountain,הַר,הַר,⛰️
1,Meer,ים,sea,יָם,יָם,🌊
1,Baum,עץ,tree,עֵץ,עֵץ,🌳
1,Fisch,דג,fish,דָּג,דָּג,🐟
1,Hand,יד,hand,יָד,יָד,✋
1,Nase,אף,nose,אַף,אַף,👃
1,Mund,פה,mouth,פֶּה,פֶּה,👄
1,Vater,אב,father,אָב,אָב,👨
1,Sohn,בן,son,בֵּן,בֵּן,👦
1,Dach,גג,roof,גַּג,גַּג,🏠
1,Garten,גן,garden,גַּן,גַּן,🪴
1,Was,מה,what,מָה,מָה,❓
1,Wer,מי,who,מִי,מִי,👤
1,Dort,שם,there,שָׁם,שָׁם,👉
1,Hier,כאן,here,כָּאן,כָּאן,👈
1,Auch,גם,also,גַּם,גַּם,➕
1,Mit,עם,with,עִם,עִם,🤝
1,Auf,על,on,עַל,עַל,🔝
1,Schlecht,רע,bad,רַע,רַע,👎
1,Insel,אי,island,אִי,אִי,🏝️
1,Karte,מפה,map,מַפָּה,מַפָּה,🗺️
1,Mond,ירח,moon,יָרֵחַ,יָרֵחַ,🌙
1,Wolf,זאב,wolf,זְאֵב,זְאֵב,🐺
1,Bär,דוב,bear,דּוֹב,דּוֹב,🐻
1,Affe,קוף,monkey,קוֹף,קוֹף,🐵
1,Hase,שפן,hare,שָׁפָן,שָׁפָן,🐰
1,Zauber,קסם,magic,קֶסֶם,קֶסֶם,✨
1,Wind,רוח,wind,רוּחַ,רוּחַ,💨
1,Spaß,כיף,fun,כֵּיף,כֵּיף,🎉
2,Lehrer,מורה,teacher,מוֹרֶה,מוֹרֶה,🧑‍🏫
2,Fenster,חלון,window,חַלּוֹן,חַלּוֹן,🪟
2,Computer,מחשב,computer,מַחְשֵׁב,מַחְשֵׁב,💻
2,Straße,רחוב,street,רְחוֹב,רְחוֹב,🛣️
2,Rot,אדום,red,אָדוֹם,אָדוֹם,🟥
2,Frieden,שלום,peace,שָׁלוֹם,שָׁלוֹם,☮️
2,Ort,מקום,place,מָקוֹם,מָקוֹם,📍
2,Post,דואר,mail,דּוֹאַר,דּוֹאַר,📮
2,Bäcker,אופה,baker,אוֹפֶה,אוֹפֶה,🥖
2,Boot,סירה,boat,סִירָה,סִירָה,🚤
2,Kuchen,עוגה,cake,עוּגָה,עוּגָה,🍰
2,Stern,כוכב,star,כּוֹכָב,כּוֹכָב,⭐
2,Katze,חתול,cat,חָתוּל,חָתוּל,🐱
2,Seife,סבון,soap,סַבּוֹן,סַבּוֹן,🧼
2,Kleid,שמלה,dress,שִׂמְלָה,שִׂמְלָה,👗
2,Kompass,מצפן,compass,מַצְפֵּן,מַצְפֵּן,🧭
2,Rucksack,תרמיל,backpack,תַּרְמִיל,תַּרְמִיל,🎒
2,Fernrohr,טלסקופ,telescope,טֶלֶסְקוֹפּ,טֶלֶסְקוֹפּ,🔭
2,Fackel,לפיד,torch,לַפִּיד,לַפִּיד,🔥
2,Helm,קסדה,helmet,קַסְדָּה,קַסְדָּה,⛑️
2,Drache,דרקון,dragon,דְּרָקוֹן,דְּרָקוֹן,🐉
2,Zauberstab,שרביט,magic wand,שַׁרְבִיט,שַׁרְבִיט,🪄
2,Leiter,סולם,ladder,סֻלָּם,סֻלָּם,🪜
2,Wolke,עננה,cloud,עֲנָנָה,עֲנָנָה,☁️
3,Schokolade,שוקולד,chocolate,שׁוֹקוֹלָד,שׁוֹקוֹלָד,🍫
3,Regenschirm,מטרייה,umbrella,מִטְרִיָּה,מִטְרִיָּה,☂️
3,Fernsehprogramm,תוכנית,tv program,תּוֹכְנִית,תּוֹכְנִית,📺
3,Badewanne,אמבטיה,bathtub,אַמְבַּטְיָה,אַמְבַּטְיָה,🛁
3,Hahn,תרנגול,rooster,תַּרְנְגוֹל,תַּרְנְגוֹל,🐓
