round,german,hebrew
1,Berg,הר
1,See,ים
1,Baum,עץ
1,Fisch,דג
1,Hand,יד
1,Nase,אף
1,Mund,פה
1,Vater,אב
1,Sohn,בן
1,Dach,גג
1,Garten,גן
1,Was,מה
1,Wer,מי
1,Dort,שם
1,Hier,פה
1,Auch,גם
1,Mit,עם
1,Auf,על
1,Schlecht,רע
2,Lehrer,מורה
2,Fenster,חלון
2,Computer,מחשב
2,Straße,רחוב
2,Rot,אדום
2,Frieden,שלום
2,Ort,מקום
2,Post,דואר
2,Bäcker,אופה
2,Boot,סירה
2,Kuchen,עוגה
2,Stern,כוכב
2,Katze,חתול
2,Seife,סבון
2,Kleid,שמלה
3,Schokolade,שוקולד
3,Regenschirm,מטרייה
3,Fernsehprogramm,תוכנית
3,Badezimmer,אמבטיה
3,Hahn,תרנגול
3,Rechner,מחשבון
3,Orangen,תפוזים
3,Atmosphäre,אווירה
3,Tomate,עגבניה
3,Kekse,עוגיות
3,Schmetterlinge,פרפרים
3,Jalousien,תריסים
3,Schlüssel,מפתחות
3,Münzen,מטבעות
4,Großer Berg,הר גדול
4,Kleines Kind,ילד קטן
4,Blaues Wasser,מים כחולים
4,Kalter Tag,יום קר
4,Leckeres Brot,לחם טעים
4,Süßer Apfel,תפוח מתוק
4,Altes Haus,בית ישן
4,Neues Buch,ספר חדש
4,Schneller Zug,רכבת מהירה
4,Schöne Blume,פרח יפה
4,Grüner Apfel,תפוח ירוק
4,Kaltes Wasser,מים קרים
4,Großes Haus,בית גדול
4,Alter Mann,איש זקן
4,Junge Frau,אישה צעירה
4,Weißes Brot,לחם לבן
4,Schwarzer Kaffee,קפה שחור
4,Rote Rose,שושנה אדומה
4,Hoher Baum,עץ גבוה
4,Schnelles Auto,מכונית מהירה
5,Ich liebe Schokolade,אני אוהב שוקולד
5,Er lernt Hebräisch,הוא לומד עברית
5,Sie trinkt Wasser,היא שותה מים
5,Wir lesen Bücher,אנחנו קוראים ספרים
5,Der Hund läuft schnell,הכלב רץ מהר
5,Ich gehe nach Hause,אני הולך הביתה
5,Er spielt Klavier,הוא מנגן בפסנתר
5,Der Hund ist sehr müde,הכלב מאוד עייף
5,Die Katze trinkt Milch,החתול שותה חלב
5,Das Kind spielt draußen,הילד משחק בחוץ
5,Ich esse einen Apfel,אני אוכל תפוח
5,Wir gehen zum Strand,אנחנו הולכים לחוף
5,Er fährt nach Berlin,הוא נוסע לברלין
5,Das Wetter ist schön,מזג האוויר יפה
5,Die Blume ist rot,הפרח הוא אדום
5,Das Buch ist sehr interessant,הספר מאוד מעניין
6,Ich gehe in die Schule,אני הולך לבית הספר
6,Wir fahren nach Tel Aviv,אנחנו נוסעים לתל אביב
6,Der Junge spielt mit Freunden,הילד משחק עם חברים
6,Er kauft frisches Gemüse,הוא קונה ירקות טריים
6,Das Kind schläft zu Hause,הילד ישן בבית בלילה
6,Das Kind isst im guten Restaurant,הילד אוכל במסעדה טובה
6,Wir reisen nächste Woche ab,אנחנו נוסעים בשבוע הבא
6,Die Lehrerin unterrichtet sehr gut,המורה מלמדת מאוד טוב
6,Das Auto fährt sehr schnell,המכונית נוסעת מהר מאוד
6,Sie liest ein dickes Buch,היא קוראת ספר עבה
